,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸À²,BABIP,º¼³Ý%,»ïÁø%,º¼/»ï,ISO,Å¸¼ö/È¨·±,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA
83,2015,04,09,NC,1,42,0.342,0.444,7.1,26.2,0.27,0.211,38.00,0.934,9.19,9.54,7.29,9.37,0.69,0.397,1.90
84,2015,04,09,»ï¼º,1,42,0.333,0.320,14.3,11.9,1.20,0.273,11.00,1.056,10.24,11.52,9.66,4.13,0.38,0.459,4.27
85,2015,04,09,ÇÑÈ­,1,37,0.219,0.273,8.1,24.3,0.33,0.187,32.00,0.712,4.33,4.50,3.80,4.31,0.02,0.318,-0.96
86,2015,04,09,µÎ»ê,1,31,0.179,0.227,9.7,19.4,0.50,0.000,-,0.437,1.66,1.86,0.36,3.06,0.52,0.218,-3.62
87,2015,04,09,·Ôµ¥,1,38,0.265,0.276,2.6,10.5,0.25,0.147,34.00,0.736,4.58,4.58,4.37,3.82,0.19,0.332,-0.52
88,2015,04,09,KIA,1,36,0.206,0.185,5.6,13.9,0.40,0.176,17.00,0.632,3.12,3.01,2.32,1.70,0.19,0.277,-2.30
89,2015,04,09,KT,1,35,0.206,0.240,0.0,22.9,0.00,0.118,34.00,0.553,2.57,2.57,1.27,2.81,0.02,0.246,-3.22
90,2015,04,09,LG,1,39,0.185,0.227,20.5,12.8,1.60,0.000,-,0.574,2.58,2.49,3.29,-0.74,0.20,0.298,-1.72
91,2015,04,09,Hero,1,30,0.000,0.000,10.0,26.7,0.38,0.000,-,0.100,0.08,0.08,-3.63,1.81,0.01,0.072,-7.49
92,2015,04,10,LG,1,37,0.300,0.400,16.2,24.3,0.67,0.167,30.00,0.884,6.08,7.14,6.49,3.24,0.03,0.399,1.74
93,2015,04,10,»ï¼º,1,52,0.286,0.310,15.4,19.2,0.80,0.309,14.00,1.007,10.27,8.41,10.58,6.65,0.21,0.429,3.90
94,2015,04,10,·Ôµ¥,1,50,0.238,0.400,12.0,40.0,0.30,0.214,21.00,0.812,7.96,6.72,7.21,6.78,0.37,0.364,0.79
95,2015,04,10,Hero,1,34,0.222,0.278,14.7,23.5,0.62,0.148,27.00,0.714,3.63,4.08,3.81,4.31,0.03,0.329,-0.56
96,2015,04,10,SK,1,38,0.207,0.240,13.2,13.2,1.00,0.000,-,0.558,2.80,2.91,2.88,1.81,0.04,0.289,-2.00
97,2015,04,10,ÇÑÈ­,1,50,0.311,0.394,6.0,24.0,0.25,0.133,45.00,0.791,6.55,5.05,6.54,1.81,0.04,0.349,0.11
98,2015,04,10,KIA,1,47,0.250,0.346,10.6,27.7,0.38,0.150,40.00,0.748,5.69,4.80,5.41,1.11,0.03,0.332,-0.63
99,2015,04,10,µÎ»ê,1,35,0.167,0.200,14.3,14.3,1.00,0.033,-,0.486,1.91,1.91,1.25,1.47,0.36,0.245,-3.25
100,2015,04,10,KT,1,33,0.156,0.313,0.0,48.5,0.00,0.000,-,0.338,0.96,0.96,-1.28,1.81,0.02,0.163,-5.52
101,2015,04,10,NC,1,31,0.071,0.105,6.4,29.0,0.22,0.036,-,0.268,0.45,0.45,-2.33,4.71,0.01,0.123,-6.31
102,2015,04,11,»ï¼º,1,37,0.313,0.348,13.5,18.9,0.71,0.250,16.00,0.968,7.70,9.03,7.25,2.96,0.36,0.421,2.50
103,2015,04,11,µÎ»ê,1,46,0.300,0.306,8.7,8.7,1.00,0.175,40.00,0.845,8.08,7.52,7.06,9.16,0.37,0.374,1.15
104,2015,04,11,KT,1,44,0.270,0.323,11.4,13.6,0.83,0.081,-,0.723,5.67,5.47,5.47,8.23,0.21,0.342,-0.18
105,2015,04,11,ÇÑÈ­,1,38,0.235,0.231,7.9,15.8,0.50,0.206,17.00,0.738,4.56,4.40,4.05,3.32,0.36,0.323,-0.83
106,2015,04,11,NC,1,36,0.185,0.200,16.7,8.3,2.00,0.000,-,0.528,2.71,3.04,1.93,5.18,0.20,0.265,-2.70
107,2015,04,11,LG,1,38,0.303,0.308,5.3,13.2,0.40,0.212,16.50,0.893,6.03,6.26,6.55,2.38,0.20,0.395,1.66
108,2015,04,11,Hero,1,38,0.257,0.391,7.9,31.6,0.25,0.000,-,0.573,3.09,3.21,2.39,3.48,0.03,0.275,-2.49
109,2015,04,11,KIA,1,33,0.188,0.286,3.0,33.3,0.09,0.031,-,0.431,1.32,1.32,-0.18,1.34,0.02,0.200,-4.42
110,2015,04,11,SK,1,34,0.188,0.240,5.9,20.6,0.29,0.062,-,0.485,1.75,1.75,0.61,1.46,0.02,0.225,-3.76
111,2015,04,11,·Ôµ¥,1,35,0.103,0.143,17.1,22.9,0.75,0.035,-,0.395,1.22,1.17,0.23,1.76,0.19,0.213,-4.26
112,2015,04,12,·Ôµ¥,1,51,0.368,0.387,17.6,9.8,1.80,0.211,19.00,1.108,13.99,15.74,13.44,6.99,0.40,0.495,6.88
113,2015,04,12,SK,1,44,0.289,0.290,6.8,13.6,0.50,0.290,19.00,0.943,8.66,8.35,7.82,6.31,0.03,0.401,2.17
114,2015,04,12,KIA,1,40,0.278,0.207,5.0,10.0,0.50,0.361,9.00,0.947,7.52,7.26,6.64,6.30,0.19,0.388,1.50
