,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,ÆÀ½Â,ÆÀ¹«,ÆÀÆÐ,RA/G,½ÇÁ¡,ÀÚÃ¥,ÇÇÈ¨·±,º¼³Ý%,»ïÁø%,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
102,2015,4,11,ÇÑÈ­,1,0,0,1.0,1,0,0,17.1,22.9,0.14300000000000002,88.9,0.0,0.57,3.89,3.89,0.2
103,2015,4,11,»ï¼º,1,0,0,2.0,2,2,0,3.0,33.3,0.28600000000000003,71.4,2.0,0.43,1.56,0.97,0.5
104,2015,4,11,NC,1,0,0,2.0,2,2,0,5.9,20.6,0.24,75.0,2.0,0.55,2.78,2.68,0.41
105,2015,4,11,KT,1,0,0,4.0,4,4,0,7.9,31.6,0.391,66.7,4.0,0.39,2.0,1.41,0.38
106,2015,4,11,µÎ»ê,1,0,0,6.0,6,5,2,5.3,13.2,0.308,71.4,5.0,0.15,6.78,7.04,-0.02
107,2015,4,11,SK,0,0,1,4.0,4,2,0,16.7,8.3,0.2,66.7,2.25,0.13,5.17,5.72,0.01
108,2015,4,11,·Ôµ¥,0,0,1,4.0,4,4,2,7.9,15.8,0.231,85.4,4.0,0.21,6.23,6.3,-0.04
109,2015,4,11,KIA,0,0,1,5.0,5,5,2,13.5,18.9,0.348,82.0,5.62,0.02,7.04,7.05,-0.09
110,2015,4,11,Hero,0,0,1,6.0,6,6,0,11.4,13.6,0.32299999999999995,62.5,6.0,0.07,4.34,4.56,0.08
111,2015,4,11,LG,0,0,1,9.0,9,6,1,8.7,8.7,0.306,51.3,6.0,-0.14,5.89,6.29,0.01
112,2015,4,12,LG,1,0,0,2.0,2,2,0,13.5,10.8,0.33299999999999996,85.7,2.0,0.41,4.45,4.83,0.07
113,2015,4,12,·Ôµ¥,1,0,0,3.0,3,3,3,8.6,31.4,0.111,131.6,3.0,0.31,6.56,6.09,-0.03
114,2015,4,12,KT,1,0,0,3.0,3,3,1,16.2,13.5,0.25,87.3,3.0,0.33,6.34,6.73,-0.09
115,2015,4,12,KIA,1,0,0,7.0,7,7,2,5.3,21.1,0.26899999999999996,48.8,7.0,0.11,5.11,4.86,0.14
116,2015,4,12,SK,1,0,0,8.0,8,8,2,7.7,25.6,0.292,43.5,8.0,-0.09,5.34,4.97,0.07
117,2015,4,12,µÎ»ê,0,0,1,3.0,3,3,1,12.5,15.6,0.23800000000000002,81.4,3.38,0.56,5.54,5.73,0.22
118,2015,4,12,Hero,0,0,1,5.0,5,5,1,10.5,23.7,0.23800000000000002,62.5,5.0,0.1,4.78,4.63,0.03
119,2015,4,12,»ï¼º,0,0,1,9.0,9,8,4,5.0,10.0,0.207,46.9,8.0,-0.18,9.23,9.47,-0.23
120,2015,4,12,NC,0,0,1,11.0,11,10,2,6.8,13.6,0.29,37.9,10.0,-0.15,6.89,7.09,-0.05
121,2015,4,12,ÇÑÈ­,0,0,1,15.0,15,10,2,17.6,9.8,0.387,49.6,11.25,-0.56,10.54,11.31,-0.33
122,2015,4,14,µÎ»ê,1,0,0,2.0,2,2,0,21.1,10.5,0.16699999999999998,84.6,2.0,0.46,5.78,6.38,-0.04
123,2015,4,14,ÇÑÈ­,1,0,0,3.0,3,3,1,7.5,12.5,0.33299999999999996,87.3,3.0,0.39,4.67,4.79,0.09
124,2015,4,14,·Ôµ¥,1,0,0,4.0,4,4,0,9.8,31.7,0.391,71.4,4.0,0.39,2.45,1.86,0.4
125,2015,4,14,NC,0,0,1,5.0,5,5,2,17.1,22.9,0.278,80.4,5.62,0.1,7.54,7.55,-0.06
126,2015,4,14,»ï¼º,0,0,1,5.0,5,5,2,2.8,19.4,0.41700000000000004,80.4,5.62,0.15,5.92,5.76,0.01
127,2015,4,14,KT,0,0,1,18.0,18,18,5,11.3,11.3,0.5,50.0,18.0,-0.6,11.89,12.19,-0.31
128,2015,4,15,·Ôµ¥,1,0,0,0.0,0,0,0,11.8,23.5,0.136,100.0,0.0,0.61,3.23,3.12,0.18
129,2015,4,15,»ï¼º,1,0,0,3.0,3,3,0,2.6,18.4,0.31,72.7,3.0,0.31,2.78,2.69,0.31
130,2015,4,15,KIA,1,0,0,4.0,4,4,0,13.5,13.5,0.29600000000000004,69.2,4.0,0.29,4.23,4.5,0.12
131,2015,4,15,Hero,1,0,0,4.0,4,4,2,5.4,29.7,0.318,85.4,4.0,0.26,4.78,4.25,0.17
132,2015,4,15,µÎ»ê,1,0,0,6.0,6,6,2,19.3,22.8,0.24100000000000002,82.4,4.5,0.33,6.42,6.36,-0.05
133,2015,4,15,SK,0,0,1,6.0,6,5,1,7.5,22.5,0.26899999999999996,56.6,5.0,-0.05,4.11,3.86,0.19
134,2015,4,15,KT,0,0,1,7.0,7,7,0,17.2,13.8,0.316,70.8,5.25,0.28,5.09,5.43,0.08
135,2015,4,15,NC,0,0,1,6.0,6,6,1,16.2,24.3,0.368,63.5,6.75,-0.02,5.29,5.1,0.02
136,2015,4,15,ÇÑÈ­,0,0,1,8.0,8,8,2,7.0,20.9,0.414,63.4,8.0,-0.16,5.23,4.92,0.03
137,2015,4,15,LG,0,0,1,9.0,9,8,0,4.5,13.6,0.47100000000000003,52.6,8.0,0.0,3.34,3.41,0.23
138,2015,4,16,SK,1,0,0,0.0,0,0,0,3.3,23.3,0.05,100.0,0.0,0.55,2.78,2.69,0.15
139,2015,4,16,NC,1,0,0,3.0,3,2,2,13.9,19.4,0.182,97.6,2.0,0.31,6.67,6.73,-0.06
140,2015,4,16,LG,1,0,0,5.0,5,4,0,13.6,20.5,0.483,75.0,4.0,0.12,3.67,3.56,0.24
141,2015,4,16,·Ôµ¥,0,0,1,8.0,8,7,0,2.4,22.0,0.517,50.0,7.0,-0.19,1.67,1.25,0.49
142,2015,4,16,KIA,0,0,1,10.0,10,7,2,28.9,22.2,0.222,58.1,7.88,-0.53,9.67,9.84,-0.23
143,2015,4,16,Hero,0,0,1,10.0,10,10,1,18.6,18.6,0.375,53.8,11.25,-0.28,7.04,7.23,-0.09
144,2015,4,17,»ï¼º,1,0,0,1.0,1,1,0,5.4,24.3,0.28,90.0,1.0,0.55,2.67,2.41,0.44
145,2015,4,17,Hero,1,0,0,3.0,3,1,0,15.4,20.5,0.25,75.0,1.0,0.45,3.89,3.89,0.18
146,2015,4,17,µÎ»ê,1,0,0,1.0,1,1,1,12.1,21.2,0.14300000000000002,106.1,1.0,0.5,4.89,4.9,0.08
147,2015,4,17,LG,1,0,0,1.0,1,1,0,5.7,22.9,0.348,91.7,1.0,0.55,3.23,3.14,0.25
