,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,QS,¿ÏÅõ,¿ÏºÀ,»ïÁø/9,º¼³Ý/9,È¨·±/9,»ï/º¼,ÇÇ¾ÈÅ¸À²,ÇÇÃâ·çÀ²,ÇÇÀåÅ¸À²,ÇÇOPS,WHIP,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
112,2015,04,12,LG,1,0,0,0,4.00,5.00,0.00,0.80,0.290,0.389,0.387,0.776,1.56,0.333,85.7,2.00,0.41,4.45,4.83,0.07
113,2015,04,12,·Ôµ¥,1,1,0,0,11.00,3.00,3.00,3.67,0.156,0.229,0.438,0.666,0.89,0.111,131.6,3.00,0.31,6.56,6.09,-0.03
114,2015,04,12,KT,1,0,0,0,5.00,6.00,1.00,0.83,0.233,0.378,0.333,0.712,1.44,0.250,87.3,3.00,0.33,6.34,6.73,-0.09
115,2015,04,12,KIA,1,0,0,0,8.00,2.00,2.00,4.00,0.250,0.289,0.528,0.817,1.22,0.269,48.8,7.00,0.11,5.12,4.86,0.14
116,2015,04,12,SK,1,0,0,0,10.00,3.00,2.00,3.33,0.250,0.308,0.472,0.780,1.33,0.292,43.5,8.00,-0.09,5.34,4.97,0.07
117,2015,04,12,µÎ»ê,1,1,0,0,5.62,4.50,1.12,1.25,0.222,0.323,0.370,0.693,1.25,0.238,81.4,3.38,0.56,5.55,5.73,0.22
118,2015,04,12,Hero,1,0,0,0,9.00,4.00,1.00,2.25,0.194,0.306,0.323,0.628,1.11,0.238,62.5,5.00,0.10,4.78,4.63,0.03
119,2015,04,12,»ï¼º,1,0,0,0,4.00,2.00,4.00,2.00,0.278,0.308,0.639,0.947,1.33,0.207,46.9,8.00,-0.18,9.23,9.48,-0.23
120,2015,04,12,NC,1,0,0,0,6.00,3.00,2.00,2.00,0.289,0.364,0.579,0.943,1.56,0.290,37.9,10.00,-0.15,6.89,7.09,-0.05
121,2015,04,12,ÇÑÈ­,1,0,0,0,5.62,10.12,2.25,0.56,0.368,0.529,0.579,1.108,2.88,0.387,49.6,11.25,-0.56,10.55,11.31,-0.33
122,2015,04,14,µÎ»ê,1,0,0,0,4.00,8.00,0.00,0.50,0.143,0.351,0.179,0.530,1.33,0.167,84.6,2.00,0.46,5.78,6.39,-0.04
123,2015,04,14,ÇÑÈ­,1,1,0,0,5.00,3.00,1.00,1.67,0.306,0.359,0.417,0.776,1.56,0.333,87.3,3.00,0.39,4.67,4.79,0.09
124,2015,04,14,·Ôµ¥,1,1,0,0,13.00,4.00,0.00,3.25,0.250,0.341,0.333,0.675,1.44,0.391,71.4,4.00,0.39,2.45,1.86,0.40
125,2015,04,14,NC,1,0,0,0,9.00,6.75,2.25,1.33,0.250,0.400,0.464,0.864,1.62,0.278,80.4,5.62,0.10,7.55,7.56,-0.06
126,2015,04,14,»ï¼º,1,0,0,0,7.88,1.12,2.25,7.00,0.364,0.400,0.727,1.127,1.62,0.417,80.4,5.62,0.15,5.92,5.76,0.01
127,2015,04,14,KT,1,0,0,0,6.00,6.00,5.00,1.00,0.500,0.558,1.000,1.558,3.11,0.500,50.0,18.00,-0.60,11.89,12.20,-0.31
128,2015,04,15,·Ôµ¥,1,0,0,0,8.00,4.00,0.00,2.00,0.100,0.206,0.133,0.339,0.78,0.136,100.0,0.00,0.61,3.23,3.12,0.18
129,2015,04,15,»ï¼º,1,1,0,0,7.00,1.00,0.00,7.00,0.250,0.289,0.306,0.595,1.11,0.310,72.7,3.00,0.31,2.78,2.69,0.31
130,2015,04,15,KIA,1,1,0,0,5.00,5.00,0.00,1.00,0.250,0.351,0.375,0.726,1.44,0.296,69.2,4.00,0.29,4.23,4.50,0.12
131,2015,04,15,Hero,1,0,0,0,11.00,2.00,2.00,5.50,0.257,0.297,0.457,0.754,1.22,0.318,85.4,4.00,0.26,4.78,4.25,0.17
132,2015,04,15,µÎ»ê,1,0,0,0,9.75,8.25,1.50,1.18,0.209,0.375,0.419,0.794,1.67,0.241,82.4,4.50,0.33,6.42,6.36,-0.05
133,2015,04,15,SK,1,1,0,0,9.00,3.00,1.00,3.00,0.222,0.300,0.361,0.661,1.22,0.269,56.6,5.00,-0.05,4.12,3.86,0.19
134,2015,04,15,KT,1,0,0,0,6.00,7.50,0.00,0.80,0.267,0.414,0.311,0.725,1.83,0.316,70.8,5.25,0.28,5.09,5.44,0.08
135,2015,04,15,NC,1,0,0,0,10.12,6.75,1.12,1.50,0.276,0.400,0.448,0.848,1.75,0.368,63.5,6.75,-0.02,5.30,5.11,0.02
136,2015,04,15,ÇÑÈ­,1,0,0,0,9.00,3.00,2.00,3.00,0.359,0.395,0.564,0.959,1.89,0.414,63.4,8.00,-0.16,5.23,4.92,0.03
137,2015,04,15,LG,1,0,0,0,6.00,2.00,0.00,3.00,0.400,0.442,0.500,0.942,2.00,0.471,52.6,8.00,0.00,3.34,3.41,0.23
138,2015,04,16,SK,1,0,0,0,7.00,1.00,0.00,7.00,0.037,0.103,0.037,0.140,0.22,0.050,100.0,0.00,0.55,2.78,2.69,0.15
139,2015,04,16,NC,1,1,0,0,7.00,5.00,2.00,1.40,0.194,0.306,0.387,0.693,1.22,0.182,97.6,2.00,0.31,6.67,6.74,-0.06
140,2015,04,16,LG,1,0,0,0,9.00,6.00,0.00,1.50,0.378,0.455,0.432,0.887,2.22,0.483,75.0,4.00,0.12,3.67,3.56,0.24
141,2015,04,16,·Ôµ¥,1,1,0,0,9.00,1.00,0.00,9.00,0.405,0.410,0.486,0.897,1.78,0.517,50.0,7.00,-0.19,1.67,1.25,0.49
142,2015,04,16,KIA,1,0,0,0,11.25,14.62,2.25,0.77,0.207,0.455,0.414,0.868,2.38,0.222,58.1,7.88,-0.53,9.67,9.85,-0.23
143,2015,04,16,Hero,1,0,0,0,9.00,9.00,1.12,1.00,0.312,0.465,0.438,0.903,2.25,0.375,53.8,11.25,-0.28,7.05,7.24,-0.09
144,2015,04,17,Hero,1,0,0,0,8.00,6.00,0.00,1.33,0.188,0.316,0.188,0.503,1.33,0.250,75.0,1.00,0.45,3.89,3.89,0.18
145,2015,04,17,µÎ»ê,1,1,0,0,7.00,4.00,1.00,1.75,0.138,0.242,0.276,0.518,0.89,0.143,106.1,1.00,0.50,4.89,4.90,0.08
146,2015,04,17,LG,1,1,0,0,8.00,2.00,0.00,4.00,0.258,0.343,0.258,0.601,1.11,0.348,91.7,1.00,0.55,3.23,3.14,0.25
147,2015,04,17,»ï¼º,1,1,0,0,9.00,2.00,0.00,4.50,0.206,0.270,0.265,0.535,1.00,0.280,90.0,1.00,0.55,2.67,2.41,0.44
148,2015,04,17,ÇÑÈ­,1,0,0,0,7.00,2.00,2.00,3.50,0.212,0.325,0.424,0.749,1.00,0.200,68.6,5.00,0.06,7.00,7.16,-0.05
149,2015,04,17,KIA,1,1,0,0,7.00,5.00,0.00,1.40,0.258,0.395,0.387,0.782,1.44,0.333,73.3,4.00,0.30,4.45,4.63,0.15
150,2015,04,17,SK,1,0,0,0,8.00,1.00,4.00,8.00,0.265,0.324,0.647,0.971,1.11,0.227,93.8,4.00,0.08,8.67,8.56,-0.19
151,2015,04,17,KT,1,0,0,0,6.75,6.75,1.12,1.00,0.258,0.395,0.387,0.782,1.75,0.292,66.2,6.75,-0.05,6.42,6.67,-0.06
