,¿¬µµ,¿ù,ÆÀ¸í,R/G,Ãâ·çÀ²,ÀåÅ¸À²,OPS,º¼/»ï,ISO,RC/27,µµ½Ç
141,2016,10,µÎ»ê,7.33,0.38799999999999996,0.491,0.879,0.65,0.184,7.43,0.391
142,2016,10,SK,4.67,0.31,0.40399999999999997,0.7140000000000001,0.28,0.154,4.47,0.319
143,2016,10,KIA,4.8,0.37200000000000005,0.405,0.777,0.79,0.12300000000000001,4.98,0.355
144,2016,10,NC,5.43,0.386,0.457,0.843,0.51,0.13699999999999998,6.4,0.377
145,2016,10,KT,4.4,0.32799999999999996,0.349,0.677,0.42,0.077,4.03,0.307
146,2016,10,»ï¼º,4.0,0.34,0.38299999999999995,0.723,0.45,0.12,4.59,0.327
147,2016,10,Hero,4.0,0.307,0.335,0.642,0.29,0.08199999999999999,3.46,0.293
148,2016,10,LG,3.8,0.332,0.348,0.68,0.59,0.107,3.66,0.313
149,2016,10,·Ôµ¥,4.17,0.326,0.39399999999999996,0.72,0.32,0.134,4.54,0.325
150,2017,3,NC,6.0,0.447,0.594,1.041,0.44,0.25,10.01,0.456
151,2017,3,KT,3.0,0.297,0.4,0.6970000000000001,0.25,0.14300000000000002,3.34,0.298
152,2017,3,KIA,7.0,0.35700000000000004,0.5589999999999999,0.9159999999999999,1.6,0.353,6.78,0.392
153,2017,3,µÎ»ê,3.0,0.242,0.185,0.42700000000000005,0.25,0.037000000000000005,2.26,0.213
154,2017,3,LG,2.0,0.20600000000000002,0.226,0.43200000000000005,0.3,0.09699999999999999,1.32,0.203
155,2017,3,SK,2.0,0.265,0.273,0.5379999999999999,0.0,0.031,2.35,0.249
156,2017,3,»ï¼º,2.0,0.25,0.452,0.7020000000000001,0.14,0.226,3.26,0.299
157,2017,3,·Ôµ¥,5.0,0.235,0.364,0.599,0.0,0.152,2.52,0.263
158,2017,3,Hero,1.0,0.265,0.3,0.565,0.67,0.133,2.07,0.264
159,2017,3,ÇÑÈ­,0.0,0.21899999999999997,0.138,0.35700000000000004,0.38,0.0,0.96,0.183
160,2017,4,KIA,5.52,0.344,0.395,0.7390000000000001,0.46,0.114,4.91,0.33299999999999996
161,2017,4,NC,5.16,0.337,0.423,0.76,0.36,0.152,5.09,0.33899999999999997
162,2017,4,LG,4.56,0.34700000000000003,0.386,0.733,0.38,0.1,4.53,0.33399999999999996
163,2017,4,SK,5.68,0.336,0.48200000000000004,0.818,0.36,0.215,5.41,0.35600000000000004
164,2017,4,Hero,5.92,0.361,0.429,0.79,0.48,0.129,5.8,0.355
165,2017,4,·Ôµ¥,4.92,0.364,0.409,0.773,0.49,0.132,5.2,0.35100000000000003
166,2017,4,µÎ»ê,4.8,0.354,0.386,0.74,0.63,0.114,5.09,0.33799999999999997
167,2017,4,KT,3.12,0.285,0.321,0.606,0.36,0.092,3.11,0.276
168,2017,4,ÇÑÈ­,4.32,0.33299999999999996,0.385,0.718,0.36,0.109,4.48,0.325
169,2017,4,»ï¼º,4.16,0.321,0.377,0.698,0.37,0.11699999999999999,4.16,0.315
170,2017,5,KIA,5.65,0.36700000000000005,0.449,0.816,0.61,0.161,5.88,0.363
171,2017,5,µÎ»ê,6.26,0.38299999999999995,0.45799999999999996,0.841,0.64,0.159,6.37,0.377
172,2017,5,·Ôµ¥,5.38,0.371,0.461,0.8320000000000001,0.51,0.16,5.83,0.371
173,2017,5,Hero,4.72,0.359,0.41,0.769,0.46,0.11900000000000001,5.18,0.34700000000000003
174,2017,5,SK,5.28,0.348,0.444,0.792,0.5,0.17800000000000002,5.52,0.35100000000000003
175,2017,5,ÇÑÈ­,5.04,0.365,0.415,0.78,0.45,0.12300000000000001,5.55,0.354
176,2017,5,NC,4.32,0.337,0.384,0.721,0.4,0.109,4.43,0.327
177,2017,5,LG,4.12,0.345,0.374,0.7190000000000001,0.43,0.096,4.25,0.32899999999999996
178,2017,5,»ï¼º,4.88,0.319,0.41200000000000003,0.731,0.53,0.162,4.48,0.324
179,2017,5,KT,4.85,0.34600000000000003,0.429,0.775,0.37,0.142,5.07,0.34600000000000003
180,2017,6,NC,6.64,0.39799999999999996,0.45399999999999996,0.852,0.68,0.141,6.86,0.384
181,2017,6,SK,5.12,0.335,0.479,0.8140000000000001,0.45,0.223,5.56,0.35600000000000004
182,2017,6,KIA,8.08,0.40700000000000003,0.529,0.9359999999999999,0.66,0.188,8.32,0.41200000000000003
183,2017,6,Hero,5.76,0.363,0.442,0.805,0.48,0.141,5.66,0.36
184,2017,6,»ï¼º,5.81,0.344,0.446,0.79,0.44,0.16,5.69,0.35
185,2017,6,LG,6.33,0.376,0.445,0.821,0.47,0.142,6.1,0.36700000000000005
186,2017,6,ÇÑÈ­,6.36,0.37,0.501,0.871,0.51,0.19399999999999998,6.43,0.382
187,2017,6,µÎ»ê,6.4,0.375,0.499,0.8740000000000001,0.56,0.195,6.95,0.384
188,2017,6,·Ôµ¥,5.36,0.354,0.44299999999999995,0.797,0.44,0.158,5.43,0.355
189,2017,6,KT,4.8,0.33299999999999996,0.405,0.738,0.4,0.125,4.58,0.331
190,2017,7,µÎ»ê,6.35,0.36700000000000005,0.512,0.879,0.46,0.201,6.76,0.38299999999999995
191,2017,7,KIA,7.43,0.38299999999999995,0.53,0.9129999999999999,0.52,0.214,7.69,0.397
192,2017,7,LG,5.95,0.358,0.462,0.82,0.48,0.16699999999999998,5.77,0.363
193,2017,7,Hero,6.04,0.377,0.48,0.857,0.52,0.184,6.67,0.38
194,2017,7,·Ôµ¥,4.09,0.34,0.38,0.72,0.44,0.12,4.33,0.324
195,2017,7,»ï¼º,4.96,0.34299999999999997,0.42100000000000004,0.764,0.4,0.142,5.11,0.342
196,2017,7,NC,5.5,0.38799999999999996,0.461,0.8490000000000001,0.6,0.156,6.5,0.38
197,2017,7,SK,5.44,0.349,0.455,0.804,0.49,0.19,5.55,0.355
198,2017,7,ÇÑÈ­,5.15,0.341,0.475,0.816,0.4,0.18600000000000003,5.48,0.358
199,2017,7,KT,3.79,0.32899999999999996,0.365,0.6940000000000001,0.54,0.11199999999999999,4.08,0.316
200,2017,8,µÎ»ê,5.59,0.368,0.46,0.828,0.56,0.163,5.96,0.36700000000000005
201,2017,8,·Ôµ¥,5.93,0.358,0.461,0.8190000000000001,0.43,0.16699999999999998,5.95,0.36
202,2017,8,ÇÑÈ­,5.35,0.363,0.44299999999999995,0.8059999999999999,0.47,0.146,5.8,0.36
203,2017,8,Hero,5.35,0.353,0.444,0.797,0.42,0.158,5.66,0.355
204,2017,8,SK,4.52,0.33899999999999997,0.449,0.7879999999999999,0.3,0.163,5.28,0.349
205,2017,8,KIA,5.52,0.366,0.457,0.823,0.56,0.161,5.95,0.366
206,2017,8,NC,4.67,0.342,0.43200000000000005,0.774,0.41,0.157,5.38,0.345
207,2017,8,LG,4.08,0.342,0.38,0.722,0.43,0.11,4.65,0.32799999999999996
208,2017,8,KT,4.92,0.35600000000000004,0.46299999999999997,0.8190000000000001,0.4,0.171,5.82,0.363
209,2017,8,»ï¼º,5.46,0.368,0.444,0.812,0.46,0.138,6.09,0.363
210,2017,9,·Ôµ¥,5.16,0.35600000000000004,0.442,0.7979999999999999,0.38,0.142,5.54,0.35600000000000004
211,2017,9,µÎ»ê,6.48,0.376,0.466,0.8420000000000001,0.53,0.174,6.48,0.373
