,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
491,2016,김대륙,롯데,유격수,32,13,132.33333333333334,1,0,30,48,10,0.987,0,0,0,0.0,0.14300000000000002,59,49,5,7,1,2,0,12,5,1,1
495,2016,이여상,롯데,유격수,25,7,91.33333333333331,2,0,20,29,7,0.961,0,0,0,0.0,0.25,83,72,10,18,3,1,0,23,7,3,1
497,2016,신본기,롯데,유격수,25,24,204.33333333333331,2,0,38,48,15,0.977,0,0,0,0.0,0.309,104,81,13,25,4,0,1,32,10,2,0
513,2016,오승택,롯데,유격수,7,7,48.0,0,0,8,12,1,1.0,0,0,0,0.0,0.26,135,123,17,32,6,0,3,47,7,0,0
522,2016,김상수,삼성,유격수,105,102,867.3333333333335,15,0,163,281,69,0.9670000000000001,0,0,0,0.0,0.271,401,358,56,97,13,0,3,119,38,8,4
527,2016,조동찬,삼성,유격수,11,0,25.33333333333333,0,0,4,5,0,1.0,0,0,0,0.0,0.275,282,247,32,68,11,1,10,111,36,3,3
528,2016,김재현,삼성,유격수,67,42,379.66666666666674,4,0,71,128,28,0.98,0,0,0,0.0,0.218,215,188,25,41,7,0,0,48,14,11,1
548,2016,성의준,삼성,유격수,4,0,6.0,0,0,0,3,0,1.0,0,0,0,0.0,0.15,23,20,2,3,0,0,1,6,2,0,0
560,2016,하주석,한화,유격수,109,104,886.3333333333335,19,0,176,267,65,0.9590000000000001,0,0,0,0.0,0.27899999999999997,441,405,58,113,21,1,10,166,57,8,1
577,2016,신성현,한화,유격수,9,3,24.66666666666667,1,0,3,8,1,0.917,0,0,0,0.0,0.278,184,158,30,44,8,0,8,76,24,6,0
578,2016,강경학,한화,유격수,38,27,252.33333333333331,7,0,47,72,15,0.9440000000000001,0,0,0,0.0,0.158,116,101,16,16,3,2,1,26,7,4,1
581,2016,오선진,한화,유격수,7,0,11.666666666666664,0,0,2,4,1,1.0,0,0,0,0.0,0.163,53,43,6,7,0,0,0,7,3,3,0
586,2016,권용관,한화,유격수,18,8,83.33333333333333,1,0,16,20,4,0.973,0,0,0,0.0,0.25,49,44,7,11,2,1,0,15,3,1,0
592,2016,최윤석,한화,유격수,8,2,27.33333333333333,0,0,4,7,2,1.0,0,0,0,0.0,0.125,17,16,2,2,0,0,0,2,0,0,0
602,2016,강한울,KIA,유격수,97,84,688.6666666666665,11,0,144,242,55,0.972,0,0,0,0.0,0.272,322,298,36,81,13,3,0,100,27,9,0
606,2016,박찬호,KIA,유격수,62,6,165.0,7,0,34,53,8,0.9259999999999999,0,0,0,0.0,0.16699999999999998,46,42,9,7,0,0,0,7,3,1,0
611,2016,김주형,KIA,유격수,29,26,197.0,7,0,40,65,13,0.938,0,0,0,0.0,0.281,387,345,43,97,16,1,19,172,49,1,1
619,2016,고영우,KIA,유격수,27,19,149.66666666666666,4,0,27,44,7,0.9470000000000001,0,0,0,0.0,0.214,81,70,18,15,3,0,0,18,4,1,0
639,2016,박기혁,KT,유격수,105,88,726.0,11,0,137,262,53,0.973,0,0,0,0.0,0.273,348,308,36,84,13,0,2,103,34,10,2
641,2016,심우준,KT,유격수,92,51,510.0,12,0,98,171,44,0.9570000000000001,0,0,0,0.0,0.242,251,236,36,57,9,1,3,77,17,5,2
655,2016,김연훈,KT,유격수,8,5,33.666666666666664,0,0,8,15,4,1.0,0,0,0,0.0,0.217,181,166,13,36,10,0,1,49,18,5,3
676,2016,오지환,LG,유격수,119,112,990.0,17,0,181,365,74,0.97,0,0,0,0.0,0.28,472,393,73,110,14,5,20,194,78,2,5
678,2016,손주인,LG,유격수,9,6,45.0,1,0,10,17,6,0.9640000000000001,0,0,0,0.0,0.322,409,354,47,114,20,3,2,146,39,12,4
711,2016,황목치승,LG,유격수,18,5,65.0,0,0,11,28,5,1.0,0,0,0,0.0,0.179,39,39,7,7,3,0,0,10,4,0,0
712,2016,강승호,LG,유격수,17,13,94.0,5,0,13,41,6,0.915,0,0,0,0.0,0.184,41,38,4,7,3,0,0,10,3,0,1
714,2016,윤진호,LG,유격수,16,3,51.0,2,0,4,18,0,0.917,0,0,0,0.0,0.19,23,21,3,4,0,0,0,4,0,2,0
715,2016,장준원,LG,유격수,13,4,36.66666666666666,0,0,3,12,1,1.0,0,0,0,0.0,0.077,15,13,2,1,0,0,0,1,0,0,0
722,2016,손시헌,NC,유격수,110,103,863.0,13,0,209,291,80,0.975,0,0,0,0.0,0.305,403,341,36,104,21,2,5,144,39,10,1
734,2016,지석훈,NC,유격수,56,36,323.3333333333333,6,0,53,114,18,0.965,0,0,0,0.0,0.21899999999999997,394,351,34,77,14,0,9,118,54,6,6
740,2016,강민국,NC,유격수,19,2,58.33333333333334,4,0,9,19,5,0.875,0,0,0,0.0,0.13,26,23,2,3,1,0,1,7,1,1,0
747,2016,이상호,NC,유격수,8,2,24.0,0,0,3,5,2,1.0,0,0,0,0.0,0.28,27,25,1,7,2,0,0,9,1,0,0
751,2016,황윤호,NC,유격수,5,0,10.0,0,0,1,4,0,1.0,0,0,0,0.0,0.083,12,12,7,1,0,0,0,1,2,0,0
753,2016,도태훈,NC,유격수,3,1,7.666666666666668,1,0,0,7,0,0.875,0,0,0,0.0,0.16699999999999998,7,6,1,1,0,0,0,1,0,0,0
760,2016,고메즈,SK,유격수,112,109,933.0,25,0,185,349,77,0.955,0,0,0,0.0,0.28300000000000003,492,456,74,129,31,0,21,223,62,2,4
