,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
889,2017,김사훈,롯데,포수,55,24,239.66666666666663,1,0,208,13,1,0.995,4,16,8,33.3,0.184,89,76,1,14,3,0,0,17,8,5,1
913,2017,나종덕,롯데,포수,5,0,14.0,0,0,15,0,0,1.0,1,0,0,0.0,0.0,4,4,0,0,0,0,0,0,0,0,0
921,2017,이지영,삼성,포수,102,87,747.0,6,2,638,42,4,0.991,4,39,16,29.1,0.23800000000000002,336,302,31,72,10,2,0,86,26,6,3
927,2017,권정웅,삼성,포수,60,32,297.3333333333333,1,0,246,20,2,0.996,5,18,7,28.0,0.212,112,99,11,21,3,0,6,42,11,4,0
938,2017,최경철,삼성,포수,25,11,113.66666666666669,0,0,100,9,0,1.0,3,6,3,33.3,0.313,39,32,5,10,2,0,2,18,7,0,1
943,2017,김민수,삼성,포수,13,7,65.66666666666667,1,0,60,3,0,0.9840000000000001,1,0,1,100.0,0.14300000000000002,22,21,2,3,1,0,0,4,3,0,0
944,2017,나원탁,삼성,포수,12,7,57.66666666666666,0,0,44,4,2,1.0,1,1,2,66.7,0.217,23,23,2,5,1,0,0,6,0,0,0
954,2017,최재훈,한화,포수,102,83,706.0,1,1,536,34,6,0.998,5,42,17,28.8,0.257,309,269,22,69,10,0,1,82,16,6,0
963,2017,차일목,한화,포수,51,35,275.6666666666667,0,1,205,17,1,1.0,3,21,6,22.2,0.207,112,92,7,19,3,0,1,25,7,4,0
973,2017,허도환,한화,포수,30,11,119.0,0,0,78,12,2,1.0,2,2,3,60.0,0.225,49,40,4,9,3,0,1,15,4,3,0
979,2017,정범모,한화,포수,19,12,107.33333333333331,2,0,86,9,1,0.9790000000000001,1,6,4,40.0,0.256,50,43,5,11,2,0,1,16,3,2,0
982,2017,조인성,한화,포수,16,4,68.0,2,0,46,6,1,0.963,0,7,2,22.2,0.138,29,29,1,4,0,0,0,4,0,0,0
988,2017,김민식,KIA,포수,136,112,931.3333333333335,8,2,739,72,11,0.99,12,46,28,37.8,0.222,392,352,39,78,9,2,4,103,40,7,2
998,2017,한승택,KIA,포수,94,27,306.3333333333333,2,0,235,17,3,0.992,0,22,8,26.7,0.22899999999999998,91,83,7,19,2,1,0,23,7,1,0
1023,2017,백용환,KIA,포수,11,2,28.0,0,0,22,1,0,1.0,0,0,0,0.0,0.17600000000000002,20,17,2,3,0,0,0,3,1,0,0
1030,2017,이해창,KT,포수,109,72,655.6666666666666,6,0,470,51,1,0.9890000000000001,3,62,21,25.3,0.272,283,254,33,69,11,0,11,113,44,6,2
1034,2017,장성우,KT,포수,91,72,581.3333333333334,7,0,461,28,7,0.986,7,45,10,18.2,0.231,348,294,28,68,11,1,8,105,46,4,5
1068,2017,김만수,KT,포수,9,0,17.0,1,0,17,2,0,0.95,0,2,1,33.3,0.16699999999999998,6,6,0,1,0,0,0,1,0,0,0
1070,2017,유강남,LG,포수,117,96,831.3333333333335,4,2,733,43,5,0.995,5,36,14,28.0,0.278,364,324,43,90,13,0,17,154,66,9,2
1083,2017,정상호,LG,포수,74,38,349.33333333333326,3,1,259,21,2,0.9890000000000001,2,23,10,30.3,0.263,150,137,16,36,3,0,3,48,17,4,0
1097,2017,조윤준,LG,포수,24,10,98.33333333333331,0,0,92,2,0,1.0,2,3,1,25.0,0.237,43,38,3,9,0,0,0,9,8,2,1
1113,2017,김태군,NC,포수,132,122,957.3333333333335,9,3,860,62,11,0.99,1,50,29,36.7,0.265,420,362,33,96,19,0,3,124,34,18,2
1126,2017,박광열,NC,포수,60,18,210.0,1,0,163,15,2,0.9940000000000001,3,7,4,36.4,0.19,66,63,5,12,7,1,1,24,1,1,0
1135,2017,김종민,NC,포수,22,2,68.0,0,0,65,4,0,1.0,0,3,1,25.0,0.136,24,22,2,3,0,0,0,3,1,0,0
1150,2017,신진호,NC,포수,9,1,37.333333333333336,1,0,36,2,0,0.9740000000000001,0,1,1,50.0,0.083,12,12,1,1,1,0,0,2,0,0,0
1154,2017,김태우,NC,포수,3,1,12.0,2,0,16,1,0,0.895,0,3,0,0.0,0.429,7,7,0,3,0,0,0,3,2,0,0
1158,2017,이재원,SK,포수,109,88,719.0,3,7,546,54,3,0.995,5,55,17,23.6,0.242,350,314,32,76,15,0,9,118,42,8,4
1171,2017,이성우,SK,포수,64,38,350.66666666666674,3,1,257,26,2,0.99,1,13,7,35.0,0.27899999999999997,125,111,6,31,5,0,1,39,14,7,0
1179,2017,이홍구,SK,포수,49,21,216.66666666666663,2,0,180,22,3,0.99,2,13,11,45.8,0.188,110,101,14,19,3,0,10,52,18,1,1
1199,2018,김재현,키움,포수,116,69,625.0,4,0,525,26,5,0.993,5,34,12,26.1,0.228,234,202,22,46,7,0,3,62,18,9,3
1205,2018,주효상,키움,포수,78,43,366.66666666666674,2,0,290,26,6,0.9940000000000001,1,27,15,35.7,0.218,126,110,9,24,3,0,1,30,12,4,0
1219,2018,박동원,키움,포수,39,32,285.3333333333333,2,0,228,18,5,0.992,1,9,10,52.6,0.248,128,117,19,29,3,0,6,50,17,2,0
1233,2018,김종덕,키움,포수,3,0,5.0,0,0,4,0,0,1.0,0,0,0,0.0,0.5,2,2,0,1,0,0,0,1,0,0,0
1238,2018,양의지,두산,포수,118,108,861.6666666666665,3,0,703,52,8,0.996,5,46,28,37.8,0.358,503,439,84,157,29,1,23,257,77,0,6
