,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,R/G,µæÁ¡,È¨·±,µµ·ç,º¼³Ý%,»ïÁø%,BABIP,Å¸À²,Ãâ·çÀ²,ÀåÅ¸À²,OPS,wOBA
128,2015,4,15,KIA,9.0,9,0,0,4.6,13.6,0.47100000000000003,0.4,0.442,0.5,0.9420000000000001,0.426
129,2015,4,15,»ï¼º,8.0,8,2,3,7.0,20.9,0.414,0.359,0.395,0.564,0.9590000000000001,0.40700000000000003
130,2015,4,15,·Ôµ¥,6.0,6,1,0,16.2,24.3,0.368,0.276,0.4,0.44799999999999995,0.848,0.384
131,2015,4,15,µÎ»ê,7.0,7,0,0,17.2,13.8,0.316,0.267,0.414,0.311,0.725,0.34700000000000003
132,2015,4,15,Hero,6.0,6,1,1,7.5,22.5,0.26899999999999996,0.222,0.3,0.361,0.6609999999999999,0.29
133,2015,4,15,SK,4.0,4,2,1,5.4,29.7,0.318,0.257,0.297,0.457,0.754,0.32799999999999996
134,2015,4,15,LG,4.0,4,0,0,13.5,13.5,0.29600000000000004,0.25,0.35100000000000003,0.375,0.726,0.337
135,2015,4,15,ÇÑÈ­,3.0,3,0,0,2.6,18.4,0.31,0.25,0.289,0.306,0.595,0.275
136,2015,4,15,KT,6.0,6,2,2,19.3,22.8,0.24100000000000002,0.209,0.375,0.419,0.794,0.353
137,2015,4,15,NC,0.0,0,0,3,11.8,23.5,0.136,0.1,0.20600000000000002,0.133,0.33899999999999997,0.177
138,2015,4,16,NC,8.0,8,0,0,2.4,22.0,0.517,0.405,0.41,0.486,0.8959999999999999,0.39
139,2015,4,16,SK,10.0,10,1,1,18.6,18.6,0.375,0.313,0.465,0.43799999999999994,0.903,0.41700000000000004
140,2015,4,16,LG,10.0,10,2,3,28.9,22.2,0.222,0.207,0.455,0.414,0.8690000000000001,0.40399999999999997
141,2015,4,16,KIA,5.0,5,0,0,13.6,20.4,0.483,0.37799999999999995,0.455,0.43200000000000005,0.887,0.40700000000000003
142,2015,4,16,·Ôµ¥,3.0,3,2,3,13.9,19.4,0.182,0.19399999999999998,0.306,0.387,0.693,0.311
